종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"102120","어보브반도체","KOSDAQ","반도체","20000","-1700","-7.83","355615060000"
"263540","어스앤에어로스페이스","KOSDAQ","운송장비·부품","5950","0","0.00","80289841450"
"238120","얼라인드","KOSDAQ","의료·정밀기기","4305","-15","-0.35","61901147280"
"019990","에너토크","KOSDAQ","기계·장비","6810","-130","-1.87","66438959280"
"270660","에브리봇","KOSDAQ","일반전기전자","55500","7500","15.63","676619481000"
"038680","에스넷","KOSDAQ","컴퓨터서비스","5510","-30","-0.54","107718720270"
"217480","에스디생명공학","KOSDAQ","화학","499","0","0.00","54756837359"
"121890","에스디시스템","KOSDAQ","정보기기","2060","20","0.98","26133407200"
"304360","에스바이오메딕스","KOSDAQ","제약","10000","20","0.20","113370760000"
"389500","에스비비테크","KOSDAQ","기계·장비","37550","-200","-0.53","231867645200"
"042110","에스씨디","KOSDAQ","일반전기전자","1642","0","0.00","79357144088"
"298060","에스씨엠생명과학","KOSDAQ","제약","3255","65","2.04","66620892240"
"065420","에스아이리소스","KOSDAQ","화학","271","-11","-3.90","19397448029"
"103230","에스앤더블류","KOSDAQ","기계·장비","3815","-95","-2.43","27468000000"
"260970","에스앤디","KOSDAQ","음식료·담배","18930","-460","-2.37","76844820600"
"101490","에스앤에스텍","KOSDAQ","반도체","40050","-650","-1.60","859130452350"
"095910","에스에너지","KOSDAQ","IT부품","1848","-17","-0.91","36044321544"
"275630","에스에스알","KOSDAQ","소프트웨어","4690","65","1.41","28224368410"
"031330","에스에이엠티","KOSDAQ","유통","2760","5","0.18","275986384920"
"060540","에스에이티","KOSDAQ","통신장비","2580","-60","-2.27","67423929480"
"351320","에스에이티이엔지","KOSDAQ","IT부품","2600","-20","-0.76","57241303600"
"056190","에스에프에이","KOSDAQ","기계·장비","26950","-400","-1.46","967741082000"
"080000","에스엔유","KOSDAQ","기계·장비","3035","-85","-2.72","104169910450"
"214310","에스엘에너지","KOSDAQ","반도체","306","0","0.00","22516276518"
"246250","에스엘에스바이오","KOSDAQ","기타서비스","5120","50","0.99","39291407360"
"041510","에스엠","KOSDAQ","오락·문화","80200","-100","-0.12","1911238260200"
"007820","에스엠코어","KOSDAQ","기계·장비","5290","-20","-0.38","105979574340"
"109610","에스와이","KOSDAQ","금속","4240","-140","-3.20","207367376000"
"365330","에스와이스틸텍","KOSDAQ","금속","3070","-35","-1.13","93972700000"
"031860","에스유홀딩스","KOSDAQ","유통","278","-26","-8.55","36224377170"
"306040","에스제이그룹","KOSDAQ","섬유·의류","8290","-20","-0.24","81787714120"
"457940","에스케이증권제10호스팩","KOSDAQ","금융","2265","0","0.00","7497150000"
"435870","에스케이증권제8호스팩","KOSDAQ","금융","2240","0","0.00","8332800000"
"455910","에스케이증권제9호스팩","KOSDAQ","금융","2230","-5","-0.22","11194600000"
"096630","에스코넥","KOSDAQ","IT부품","1674","-9","-0.53","130027184982"
"069510","에스텍","KOSDAQ","일반전기전자","8630","-70","-0.80","94153300000"
"041910","에스텍파마","KOSDAQ","제약","6650","20","0.30","79123448950"
"234300","에스트래픽","KOSDAQ","소프트웨어","4280","-65","-1.50","117837995760"
"039440","에스티아이","KOSDAQ","반도체","34250","-950","-2.70","542177500000"
"098660","에스티오","KOSDAQ","섬유·의류","2100","-55","-2.55","26252049600"
"052020","에스티큐브","KOSDAQ","IT부품","6800","-200","-2.86","317520893200"
"237690","에스티팜","KOSDAQ","제약","66300","4600","7.46","1247021782500"
"050760","에스폴리텍","KOSDAQ","화학","1918","0","0.00","31329912404"
"288620","에스퓨얼셀","KOSDAQ","일반전기전자","14920","-160","-1.06","104131394720"
"443670","에스피소프트","KOSDAQ","소프트웨어","13620","-2130","-13.52","288703494120"
"317830","에스피시스템스","KOSDAQ","기계·장비","10620","-290","-2.66","114417947160"
"058610","에스피지","KOSDAQ","IT부품","30000","-700","-2.28","665320800000"
"043340","에쎈테크","KOSDAQ","기계·장비","708","6","0.85","67260000000"
"187660","에이디엠코리아","KOSDAQ","기타서비스","2670","0","0.00","58302787500"
"054630","에이디칩스","KOSDAQ","기타제조","288","-4","-1.37","22956324768"
"200710","에이디테크놀로지","KOSDAQ","반도체","36350","4850","15.40","488073958150"
"096690","에이루트","KOSDAQ","정보기기","493","-7","-1.40","82521272364"
"298380","에이비엘바이오","KOSDAQ","제약","22500","1250","5.88","1077582127500"
"203400","에이비온","KOSDAQ","기타서비스","6580","210","3.30","144931033940"
"195990","에이비프로바이오","KOSDAQ","기계·장비","526","1","0.19","149746793246"
"003800","에이스침대","KOSDAQ","기타제조","26500","0","0.00","293885000000"
"088800","에이스테크","KOSDAQ","통신장비","2650","-115","-4.16","185304093450"
"241840","에이스토리","KOSDAQ","오락·문화","11490","-40","-0.35","109614531060"
"453860","에이에스텍","KOSDAQ","화학","31750","-650","-2.01","179616576250"
"312610","에이에프더블류","KOSDAQ","일반전기전자","2540","-20","-0.78","51452495520"
"172670","에이엘티","KOSDAQ","반도체","22100","-750","-3.28","198021723900"
"445090","에이직랜드","KOSDAQ","반도체","72100","12100","20.17","769912928400"
"072990","에이치시티","KOSDAQ","기타서비스","10150","400","4.10","72781194150"
"227100","에이치앤비디자인","KOSDAQ","일반전기전자","1669","-241","-12.62","21173871978"
"239610","에이치엘사이언스","KOSDAQ","음식료·담배","16150","-240","-1.46","87082657250"
"462020","에이치엠씨제6호스팩","KOSDAQ","금융","2105","30","1.45","9146225000"
"148930","에이치와이티씨","KOSDAQ","IT부품","7250","-260","-3.46","73770294250"
"044780","에이치케이","KOSDAQ","기계·장비","1681","-25","-1.47","31108227947"
"357230","에이치피오","KOSDAQ","음식료·담배","9590","290","3.12","202825862750"
"355690","에이텀","KOSDAQ","일반전기전자","15930","420","2.71","85977714600"
"071670","에이테크솔루션","KOSDAQ","기계·장비","11530","-40","-0.35","115300000000"
"045660","에이텍","KOSDAQ","정보기기","14710","990","7.22","121504600000"
"224110","에이텍모빌리티","KOSDAQ","정보기기","14710","-110","-0.74","78551400000"
"021080","에이티넘인베스트","KOSDAQ","금융","3175","-60","-1.85","152400000000"
"089530","에이티세미콘","KOSDAQ","반도체","600","0","0.00","43367041800"
"200470","에이팩트","KOSDAQ","반도체","4915","-85","-1.70","208209687095"
"262260","에이프로","KOSDAQ","일반전기전자","12880","-140","-1.08","186349797760"
"109960","에이프로젠 H&G","KOSDAQ","유통","616","-10","-1.60","70317802016"
"397030","에이프릴바이오","KOSDAQ","기타서비스","13400","210","1.59","289743242000"
"089970","에이피티씨","KOSDAQ","기계·장비","13160","-80","-0.60","315584630200"
"230240","에치에프알","KOSDAQ","통신장비","16980","-110","-0.64","229043661480"
"230360","에코마케팅","KOSDAQ","기타서비스","10190","380","3.87","329830215510"
"038870","에코바이오","KOSDAQ","기타서비스","5760","-90","-1.54","80726106240"
"097780","에코볼트","KOSDAQ","운송장비·부품","1068","-3","-0.28","72336000984"
"448280","에코아이","KOSDAQ","기타서비스","38650","-1150","-2.89","381747711950"
"101360","에코앤드림","KOSDAQ","화학","67400","-9600","-12.47","772086074200"
"128540","에코캡","KOSDAQ","운송장비·부품","2520","-60","-2.33","67259959200"
"086520","에코프로","KOSDAQ","금융","593000","-3000","-0.50","15790207124000"
"247540","에코프로비엠","KOSDAQ","일반전기전자","247500","-2000","-0.80","24205832640000"
"383310","에코프로에이치엔","KOSDAQ","화학","60500","-600","-0.98","925948386000"
"038110","에코플라스틱","KOSDAQ","운송장비·부품","5050","10","0.20","207905318500"
"073540","에프알텍","KOSDAQ","통신장비","2445","55","2.30","27873000000"
"064850","에프앤가이드","KOSDAQ","기타서비스","6200","-40","-0.64","74896000000"
"036810","에프에스티","KOSDAQ","반도체","23000","-1500","-6.12","500406147000"
"173940","에프엔씨엔터","KOSDAQ","오락·문화","4610","-140","-2.95","70960844880"
"083500","에프엔에스테크","KOSDAQ","기계·장비","10410","-20","-0.19","89273266020"
"054940","엑사이엔씨","KOSDAQ","건설","835","-2","-0.24","27699912580"
"043090","엑서지21","KOSDAQ","유통","425","-5","-1.16","29605338925"
"950130","엑세스바이오","KOSDAQ","제약","8130","-10","-0.12","295654336110"
"205100","엑셈","KOSDAQ","소프트웨어","2495","-35","-1.38","179548760345"
"356680","엑스게이트","KOSDAQ","소프트웨어","6300","-140","-2.17","179823999600"
"070300","엑스큐어","KOSDAQ","소프트웨어","2890","-25","-0.86","21287953860"
"317770","엑스페릭스","KOSDAQ","일반전기전자","5710","-160","-2.73","130082970260"
"092870","엑시콘","KOSDAQ","반도체","17650","-510","-2.81","191481267050"
"317870","엔바이오니아","KOSDAQ","기타제조","17840","300","1.71","151760420000"
"067570","엔브이에이치코리아","KOSDAQ","운송장비·부품","2730","-15","-0.55","115124100000"
"236810","엔비티","KOSDAQ","기타서비스","7830","-30","-0.38","132917585580"
"333620","엔시스","KOSDAQ","일반전기전자","9210","-270","-2.85","97223928240"
"101400","엔시트론","KOSDAQ","반도체","656","42","6.84","38826162944"
"391060","엔에이치스팩20호","KOSDAQ","금융","10220","20","0.20","52122000000"
"422040","엔에이치스팩23호","KOSDAQ","금융","2155","0","0.00","15429800000"
"437780","엔에이치스팩24호","KOSDAQ","금융","2210","-15","-0.67","11116300000"
"438580","엔에이치스팩25호","KOSDAQ","금융","2460","0","0.00","7429200000"
"439410","엔에이치스팩26호","KOSDAQ","금융","2085","5","0.24","18348000000"
"440820","엔에이치스팩27호","KOSDAQ","금융","2105","10","0.48","16419000000"
"451700","엔에이치스팩29호","KOSDAQ","금융","2020","5","0.25","28987000000"
"466910","엔에이치스팩30호","KOSDAQ","금융","2040","5","0.25","18564000000"
"265740","엔에프씨","KOSDAQ","화학","8470","-20","-0.24","75652346000"
"354200","엔젠바이오","KOSDAQ","기타서비스","4625","30","0.65","59612674875"
"419080","엔젯","KOSDAQ","기계·장비","14570","-890","-5.76","153244593690"
"208860","엔지스테크널러지","KOSDAQ","소프트웨어","2205","0","0.00","25233717915"
"183490","엔지켐생명과학","KOSDAQ","제약","1649","-14","-0.84","140273111738"
"182400","엔케이맥스","KOSDAQ","제약","1957","-128","-6.14","162829026402"
"348370","엔켐","KOSDAQ","화학","295500","-24500","-7.66","5076137415000"
"058450","엔터파트너즈","KOSDAQ","화학","2895","-10","-0.34","33427464900"
"069410","엔텔스","KOSDAQ","소프트웨어","5420","-230","-4.07","55526946080"
"227950","엔투텍","KOSDAQ","기계·장비","721","118","19.57","74677957130"
"291230","엔피","KOSDAQ","기타서비스","3535","165","4.90","155834794255"
"198080","엔피디","KOSDAQ","IT부품","2810","-295","-9.50","60513869850"
"048830","엔피케이","KOSDAQ","화학","1766","-12","-0.67","33066448018"
"096870","엘디티","KOSDAQ","반도체","2775","-35","-1.25","18532560000"
"290650","엘앤씨바이오","KOSDAQ","제약","25450","-550","-2.12","577330475950"
"156100","엘앤케이바이오","KOSDAQ","의료·정밀기기","7680","-100","-1.29","153114186240"
"073110","엘엠에스","KOSDAQ","IT부품","6320","-20","-0.32","56221171600"
"083310","엘오티베큠","KOSDAQ","반도체","22400","-950","-4.07","398944739200"
"037950","엘컴텍","KOSDAQ","IT부품","1265","-26","-2.01","106826111535"
"170920","엘티씨","KOSDAQ","반도체","15750","-660","-4.02","154438515000"
"058630","엠게임","KOSDAQ","디지털컨텐츠","5920","-40","-0.67","115699751840"
